year,month,sst
2012,1,4.109
2012,2,3.336
2012,3,2.846
2012,4,5.096
2012,5,6.959
2012,6,9.941
2012,7,11.678
2012,8,12.409
2012,9,10.63
2012,10,7.635
2012,11,6.395
2012,12,5.163
2013,1,4.219
2013,2,3.662
2013,3,3.55
2013,4,4.02
2013,5,6.257
2013,6,12.659
2013,7,14.601
2013,8,13.916
2013,9,11.839
2013,10,9.549
2013,11,7.306
2013,12,5.48
2014,1,5.034
2014,2,3.913
2014,3,3.917
2014,4,5.031
2014,5,9.218
2014,6,10.912
2014,7,13.841
2014,8,13.924
2014,9,11.903
2014,10,9.761
2014,11,8.282
2014,12,7.065
2015,1,6.251
2015,2,5.716
2015,3,5.325
2015,4,5.685
2015,5,9.577
2015,6,11.479
2015,7,14.562
2015,8,15.69
2015,9,12.113
2015,10,9.796
2015,11,7.743
2015,12,6.223
2016,1,5.667
2016,2,4.984
2016,3,4.993
2016,4,6.643
2016,5,9.783
2016,6,13.842
2016,7,15.336
2016,8,14.225
2016,9,12.734
2016,10,9.328
2016,11,8.017
2016,12,6.935
2017,1,5.819
2017,2,4.831
2017,3,4.583
2017,4,5.647
2017,5,7.782
2017,6,10.831
2017,7,13.835
2017,8,14.373
2017,9,11.547
2017,10,9.36
2017,11,7.267
2017,12,5.899
2018,1,4.763
2018,2,4.605
2018,3,4.606
2018,4,5.424
2018,5,6.605
2018,6,10.596
2018,7,14.173
2018,8,13.579
2018,9,12.902
2018,10,10.158
2018,11,7.508
2018,12,6.308
2019,1,5.909
2019,2,5.4
2019,3,5.588
2019,4,6.309
2019,5,8.097
2019,6,12.862
2019,7,16.18
2019,8,16.549
2019,9,13.253
2019,10,10.022
2019,11,8.259
2019,12,6.904
2020,1,5.456
2020,2,4.869
2020,3,4.304
2020,4,5.398
2020,5,8.162
2020,6,11.951
2020,7,14.865
2020,8,14.886
2020,9,12.432
2020,10,9.762
2020,11,7.508
2020,12,6.128
2021,1,5.369
2021,2,4.2
2021,3,4.171
2021,4,5.377
2021,5,7.508
2021,6,10.687
2021,7,13.517
2021,8,13.97
2021,9,11.766
2021,10,8.951
2021,11,7.267
2021,12,5.837
2022,1,4.761
2022,2,3.731
2022,3,3.727
2022,4,5.06
2022,5,8.658
2022,6,13.507
2022,7,14.163
2022,8,13.595
2022,9,11.679
2022,10,9.534
2022,11,7.674
2022,12,6.074
2023,1,5.026
2023,2,4.075
2023,3,4.194
2023,4,4.983
2023,5,7.124
2023,6,10.34
2023,7,13.435
2023,8,13.75
2023,9,11.811
2023,10,9.179
2023,11,7.588
2023,12,6.364
2024,1,5.48
2024,2,4.814
2024,3,4.382
2024,4,5.422
2024,5,8.223
2024,6,11.557
2024,7,13.348
2024,8,13.469
2024,9,11.63
2024,10,8.919
2024,11,7.143
2024,12,6.001
2025,1,4.68
2025,2,3.958
2025,3,3.848
2025,4,4.742
2025,5,8.004
2025,6,11.505
2025,7,13.607
2025,8,13.45
2025,9,11.781
2025,10,9.182
2025,11,7.101
2025,12,5.883
2026,1,4.68
2026,2,3.958
2026,3,3.848
2026,4,4.742
2026,5,8.004
2026,6,11.505
2026,7,13.607
2026,8,13.45
2026,9,11.781
2026,10,9.182
2026,11,7.101
2026,12,5.883
2027,1,4.68
2027,2,3.958
2027,3,3.848
2027,4,4.742
2027,5,8.004
2027,6,11.505
2027,7,13.607
2027,8,13.45
2027,9,11.781
2027,10,9.182
2027,11,7.101
2027,12,5.883
2028,1,4.945
2028,2,3.924
2028,3,3.9
2028,4,4.959
2028,5,8.914
2028,6,11.06
2028,7,15.039
2028,8,16.81
2028,9,12.279
2028,10,10.103
2028,11,8.064
2028,12,6.393
2029,1,7.037
2029,2,6.595
2029,3,6.063
2029,4,6.157
2029,5,10.364
2029,6,11.466
2029,7,14.904
2029,8,14.031
2029,9,12.496
2029,10,9.291
2029,11,7.788
2029,12,6.672
